Subject,"matéria$assunto$sujeito$súdito, -a$",0
Cover,"cobrir, tapar$cobrir$incluir, tratar de$percorrer$ocupar$",0
Pale,"azul, verde, vermelho, etc. claro$pálido$",0
Programme,"programa$programa$programa$",0
Grow,"crescer$crescer, cultivar$crescer$tornar-se$(deixar) crescer$",0
Wet,"molhado, úmido$chuvoso$molhado, úmido, fresco$ser/estar verde$",0
Girl,"menina, garota, moça$",0
Claim,"alegar, afirmar$reivindicar, requerer$afirmação$reivindicação, requerimento$",0
Firm,"firme$firme$firme, severo$definitivo$firmemente$",0
Moment,"momento, instante$momento, instante$no momento$por enquanto$",0
Sad,"triste$ridículo, antiquado$forma abreviada de “seasonal affective disorder”: transtorno afetivo sazonal, TAS$",0
Age,"idade$era, idade, época$velhice, idade$séculos$envelhecer$",0
Support,"apoiar$sustentar$apoiar$sustentar, suportar, escorar$apoiar, dar respaldo a$",0
Pure,"puro$puro$puro$",0
Father,"pai$",0
Cut,"cortar$cortar algo/cortar-se$cortar, reduzir$cortar$corte$",0
Sweet,"doce$gracioso, bonitinho, fofo$gentil$bombom, doce, docinho$sobremesa$",0
Force,"força$corpo, força$forçar$forçar$",0
Rough,"áspero, enrugado$aproximado, imperfeito, não detalhado, incompleto$perigoso, violento$bravo, agitado$complicado, difícil$",0
Order,"pedido, encomenda$ordem$ordem$ordem$avariado, fora de serviço$",0
Stay,"permanecer$hospedar-se, alojar-se$permanecer, ficar$estada$",0
Absolute,"absoluto, completo$",0
Value,"valor$valor$bom preço$valores$valorizar, dar valor a$",0
Contain,"conter$",0
Mere,"mero, simples, não mais do que$",0
Act,"comportar-se$atuar, representar$agir$ato$ato, ação, feito$",0
Reduce,"reduzir, diminuir$",0
Spanish,"espanhol$",0
Matter,"assunto$matéria$qual é o problema?$não importa quão, o que, quando, etc.$na verdade$",0
Establish,"fundar, estabelecer$",0
Cool,"fresco$legal, maneiro$sossegado, calmo, tranquilo$refrescar(-se), ficar (mais) frio$legal$",0
Health,"saúde$",0
Join,"entrar (para)$reunir-se com$juntar, unir, ligar$encontrar(-se), confluir$junta, junção$",0
Fit,"servir$caber$instalar$em forma$adequado$",0
Lot,"muito, muitos$muito$bem melhor, mais velho, mais rápido, etc.$",0
Wish,"querer que…, quem me dera se…$desejar sorte, sucesso, etc. para alguém$desejar fazer algo, querer fazer algo$desejo, vontade$fazer um pedido$",0
Extreme,"extremo$extremo$(ponto) extremo$",0
Decision,"decisão$",0
Achieve,"conseguir, alcançar$",0
Proud,"orgulhoso$ser muito orgulhoso para fazer algo$orgulhoso, arrogante$",0
Street,"rua$rua$",0
Seek,"procurar, desejar, obter$",0
Mad,"bravo, furioso$louco$louco, doido$bravo, furioso$ser louco por alguém/algo$",0
Industry,"indústria$indústria$",0
Choose,"escolher, preferir$decidir fazer algo$",0
Straight,"reto, liso$reto$honesto, franco$manter uma cara séria$em linha reta$",0
Patient,"paciente$pacientemente$paciente$",0
Deal,"trato, acordo, acerto$um bom/ótimo negócio$muito$uma grande quantidade$dar (as cartas)$",0
Pink,"cor-de-rosa$cor-de-rosa$",0
Class,"classe$aula$classe$classe$classe$",0
Smooth,"liso, suave$liso, suave$tranquilo$ser muito fácil, ser moleza$alisar$",0
Mind,"mente$mudar de ideia/opinião$decidir-se$lembrar de alguém/algo$passar pela cabeça$",0
Fail,"ser reprovado (em), reprovar$fracassar, falir$deixar de fazer algo$falhar$",0
Remote,"remoto, afastado, distante$",0
Church,"igreja$",0
Serve,"servir$servir$servir$servir de algo$cumprir$",0
Pretty,"bem$bonito, gracioso$boniteza, encanto$",0
Condition,"condição, estado$condições (de moradia, trabalho, etc.)$enfermidade crônica$condição$",0
Holy,"sagrado, santo$santo$",0
Paper,"papel$jornal$trabalho$exame$",0
Kill,"matar$doer muito$",0
Honest,"honesto, franco$honesto, leal$para ser honesto$",0
Bank,"banco$margem, barranca$ter conta em banco, ser cliente (de banco)$",0
Occur,"acontecer, ocorrer$ocorrer, existir$",0
Silly,"bobo, tolo$tolo$bobagem, tolice$",0
Century,"século$",0
Drive,"dirigir$ir/levar de carro$deixar alguém louco$deixar alguém louco$negociar duro$",0
